Mesh_area,Open_year,Familymart_Entry,LAWSON_Entry,Familymart_existed,LAWSON_existed,pop,n_employee,super_count,F_count,L_count
362327851,2011,0,0,0,0,13,2,1,1,0
362327851,2012,0,0,0,0,13,2,1,1,0
362327851,2013,1,0,0,0,13,2,1,1,0
362327851,2014,0,0,1,0,13,2,1,1,0
362327851,2015,0,0,1,0,10,2,1,1,0
362327851,2016,0,0,1,0,10,2,1,1,0
362327851,2017,0,0,1,0,10,2,1,1,0
362327851,2018,0,0,1,0,10,2,1,1,0
362441022,2011,0,0,0,0,673,24,0,1,0
362441022,2012,0,0,0,0,673,346,0,1,0
362441022,2013,0,0,0,0,673,346,0,1,0
362441022,2014,0,0,0,0,673,346,0,1,0
362441022,2015,1,0,0,0,695,346,0,1,0
362441022,2016,0,0,1,0,695,528,0,1,0
362441022,2017,0,0,1,0,695,528,0,1,0
362441022,2018,0,0,1,0,695,528,0,1,0
362441024,2011,0,0,0,0,2086,24,0,2,0
362441024,2012,0,0,0,0,2086,2182,0,2,0
362441024,2013,0,0,0,0,2086,2182,0,2,0
362441024,2014,1,0,0,0,2086,2182,0,2,0
362441024,2015,0,0,2,0,2042,2182,0,2,0
362441024,2016,0,0,2,0,2042,2107,0,2,0
362441024,2017,0,0,2,0,2042,2107,0,2,0
362441024,2018,0,0,2,0,2042,2107,0,2,0
362441031,2011,0,0,0,0,1904,24,0,2,0
362441031,2012,0,0,0,0,1904,490,0,2,0
362441031,2013,0,0,0,0,1904,490,0,2,0
362441031,2014,1,0,0,0,1904,490,0,2,0
362441031,2015,0,0,1,0,1921,490,0,2,0
362441031,2016,1,0,1,0,1921,502,0,2,0
362441031,2017,0,0,2,0,1921,502,0,2,0
362441031,2018,0,0,2,0,1921,502,0,2,0
362441034,2011,0,0,0,0,1710,24,1,1,0
362441034,2012,0,0,0,0,1710,498,1,1,0
362441034,2013,0,0,0,0,1710,498,1,1,0
362441034,2014,1,0,0,0,1710,498,1,1,0
362441034,2015,0,0,1,0,1814,498,1,1,0
362441034,2016,0,0,1,0,1814,443,1,1,0
362441034,2017,0,0,1,0,1814,443,1,1,0
362441034,2018,0,0,1,0,1814,443,1,1,0
362441041,2011,0,0,0,0,1416,24,0,1,0
362441041,2012,0,0,0,0,1416,477,0,1,0
362441041,2013,0,0,0,0,1416,477,0,1,0
362441041,2014,1,0,0,0,1416,477,0,1,0
362441041,2015,0,0,1,0,1390,477,0,1,0
362441041,2016,0,0,1,0,1390,465,0,1,0
362441041,2017,0,0,1,0,1390,465,0,1,0
362441041,2018,0,0,1,0,1390,465,0,1,0
362441043,2011,0,0,0,0,915,24,0,2,0
362441043,2012,0,0,0,0,915,455,0,2,0
362441043,2013,0,0,0,0,915,455,0,2,0
362441043,2014,0,0,0,0,915,455,0,2,0
362441043,2015,0,0,0,0,903,455,0,2,0
362441043,2016,1,0,0,0,903,420,0,2,0
362441043,2017,0,0,1,0,903,420,0,2,0
362441043,2018,1,0,1,0,903,420,0,2,0
362441053,2011,0,0,0,0,370,24,0,1,0
362441053,2012,0,0,0,0,370,280,0,1,0
362441053,2013,0,0,0,0,370,280,0,1,0
362441053,2014,0,0,0,0,370,280,0,1,0
362441053,2015,1,0,0,0,274,280,0,1,0
362441053,2016,0,0,1,0,274,323,0,1,0
362441053,2017,0,0,1,0,274,323,0,1,0
362441053,2018,0,0,1,0,274,323,0,1,0
362441114,2011,0,0,0,0,1174,24,1,1,0
362441114,2012,0,0,0,0,1174,471,1,1,0
362441114,2013,0,0,0,0,1174,471,1,1,0
362441114,2014,1,0,0,0,1174,471,1,1,0
