working_hours,age,education,hourly_wage,mother_edu,father_edu,number_kids_under6,number_kids_6to18
4950,35,12,0.1616,10,10,0,2
4210,46,12,2.3753,3,3,0,0
3686,32,14,0.5426,12,12,0,0
3640,58,12,1.0989,7,3,0,0
3533,38,15,5.0948,12,7,2,2
3225,54,16,3.0416,12,12,0,0
3120,41,12,1.7821,7,3,0,0
3087,49,17,8.4224,12,12,0,0
3000,33,12,1.1217,10,10,1,2
3000,51,14,1,12,12,0,0
2750,37,16,6,12,7,0,0
2646,39,11,2.3896,7,7,0,1
2640,51,12,2.2727,7,7,0,0
2581,32,13,1.7435,14,12,0,2
2540,41,8,2.4484,7,12,0,1
2500,40,14,4.4,14,3,0,3
2490,46,12,3.6948,7,7,0,0
2480,39,10,2.6331,7,7,1,5
2450,40,12,5.3061,7,7,0,1
2419,30,10,3.3072,7,7,0,1
2340,36,10,0.1282,10,7,1,2
2318,47,16,4.0984,16,16,0,1
2317,31,12,2.8054,10,10,0,1
2312,55,14,4.599,17,7,0,0
2272,37,11,1.5845,10,10,0,0
2261,44,13,4.8651,12,7,0,1
2220,51,12,4.0541,16,7,0,0
2215,42,16,3.5052,10,16,0,2
2208,48,12,4.9819,12,14,0,1
2205,46,10,4.5351,10,3,0,1
2149,45,8,1.2564,7,7,0,3
2147,53,12,4.5645,12,12,0,0
2144,43,13,5.8675,7,7,0,2
2143,34,12,4.4797,10,10,1,1
2141,35,16,5.3713,7,7,0,0
2110,35,15,4.9763,7,7,0,2
2100,44,12,4.7986,7,,0,2
2100,59,13,3.0952,7,7,0,0
2090,43,16,3.445,14,10,0,0
2088,35,17,9.5785,12,17,0,0
2081,45,16,3.8068,12,12,0,3
2076,55,12,4.7688,7,7,0,0
2064,46,12,5.814,10,7,0,3
2058,44,12,3.4014,7,10,0,1
2058,38,12,4.0209,10,10,0,1
2058,41,11,2.931,12,12,0,0
2056,48,16,2.0161,14,16,0,2
2052,34,17,8.0409,17,17,0,0
2045,43,7,3.9609,7,7,0,3
2040,41,14,2.9412,7,10,0,0
2033,58,9,5.1648,7,9,0,0
2032,54,12,4.7421,14,7,0,0
2030,47,12,2.4631,7,7,0,0
2025,50,12,4.4444,7,12,0,0
2014,31,9,4.4687,10,3,0,3
2014,49,13,5.4126,7,14,0,1
2012,34,12,2.6839,7,7,0,2
2005,57,17,5.1352,16,12,0,0
2000,45,12,2,7,7,0,0
2000,46,11,4,7,7,0,0
2000,55,14,4.5,7,7,0,0
2000,59,10,1.25,7,7,0,0
2000,56,12,2.375,7,7,0,0
2000,34,12,2.9,7,7,0,0
2000,41,12,2.85,7,7,0,2
2000,54,6,2,7,7,0,0
2000,42,14,2.5,7,7,0,2
2000,32,12,2.6,10,7,0,2
2000,45,13,3.55,12,7,0,0
2000,45,12,6,7,10,0,2
2000,37,12,1.9,12,12,0,2
2000,46,14,3.75,14,14,0,1
1984,36,11,4.4859,7,3,1,3
1984,34,12,3.377,7,7,0,2
